source,pt_PT
"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","A Regra de Preços é feita para substituir a Lista de Preços/definir o percentual de desconto, com base em alguns critérios."
Pricing Rules,Regras de preços
Pricing Rules are further filtered based on quantity.,As regras de preços são filtradas com base na quantidade.
Primary Address,Endereço principal
Primary Address and Contact,Endereço principal e contato
Primary Contact,Contato principal
Primary Contact Email,E-mail de contato principal
Primary Party,Partido Primário
Primary Role,Função principal
Primary Settings,Configurações primárias
Print,Imprimir
Print Format,Formato de impressão
Print Format Type should be Jinja.,O tipo de formato de impressão deve ser Jinja.
Print Format must be an enabled Report Print Format matching the selected Report.,O formato de impressão deve ser um formato de impressão de relatório habilitado que corresponda ao relatório selecionado.
Print Heading,Imprimir título
Print IRS 1099 Forms,Imprimir formulários IRS 1099
Print Language,Idioma de impressão
Print Preferences,Preferências de impressão
Print Receipt on Order Complete,Imprimir recibo no pedido concluído
Print Settings,Configurações de impressão
Print Without Amount,Imprimir sem valor
Printed on {0},Impresso em {0}
Printing Details,Detalhes de impressão
Printing Settings,Configurações de impressão
Priorities,Prioridades
Priority,Prioridade
Priority cannot be lesser than 1.,A prioridade não pode ser inferior a 1.
Priority is mandatory,Prioridade é obrigatória
Probability,Probabilidade
Probability (%),Probabilidade (%)
Problem,Problema
Procedure,Procedimento
Procedures dropped,Procedimentos abandonados
Proceed,Prosseguir
Process Description,Descrição do Processo
Process Loss,Perda de Processo
Process Loss %,Perda de Processo %
Process Loss Percentage cannot be greater than 100,A porcentagem de perda de processo não pode ser superior a 100
Process Loss Qty,Quantidade de perda de processo
Process Loss Quantity,Quantidade de perda de processo
Process Loss Report,Relatório de perda de processo
Process Loss Value,Valor de perda de processo
Process Owner,Proprietário do Processo
Process Owner Full Name,Nome completo do proprietário do processo
Process Payment Reconciliation,Processar reconciliação de pagamento
Process Payment Reconciliation Log,Processar registro de reconciliação de pagamento
Process Payment Reconciliation Log Allocations,Processar alocações de log de reconciliação de pagamento
Process Period Closing Voucher,Voucher de encerramento do período de processo
Process Period Closing Voucher Detail,Detalhe do Voucher de Fechamento do Período de Processo
Process Statement Of Accounts CC,Processar extrato de contas CC
Process Subscription,Assinatura de Processo
Process in Single Transaction,Processo em Transação Única
Processed BOMs,BOMs processadas
Processes,Processos
Processing Date,Data de Processamento
Processing XML Files,Processando arquivos XML
Processing import...,Processando importação...
Procurement Tracker,Rastreador de compras
Produced / Received Qty,Quantidade produzida/recebida
Produced Qty,Quantidade produzida
Product,Produto
Product Bundle Help,Ajuda do pacote de produtos
Product Bundle Item,Item do pacote de produtos
Product Discount Scheme,Esquema de Desconto de Produto
Product Discount Slabs,Lajes de desconto de produto
Product Enquiry,Consulta de produto
Product Price ID,ID do preço do produto
Production Capacity,Capacidade de produção
Production Item Info,Informações do item de produção
Production Plan Already Submitted,Plano de produção já enviado
Production Plan Item,Item do plano de produção
Production Plan Item Reference,Referência de item do plano de produção
Production Plan Qty,Quantidade do plano de produção
Production Plan Sub Assembly Item,Item de subconjunto do plano de produção
Production Plan Summary,Resumo do Plano de Produção
Profile,Perfil
Profit & Loss,Lucro e Perda
Profit This Year,Lucro este ano
Profit and Loss Summary,Resumo de lucros e perdas
Progress,Progresso
Progress % for a task cannot be more than 100.,A % de progresso de uma tarefa não pode ser superior a 100.
Progress (%),Progresso (%)
Project,Projeto
Project Id,ID do projeto
Project Profitability,Rentabilidade do Projeto
Project Progress:,Progresso do projeto:
Project Status,Status do projeto
Project Type,Tipo de projeto
Project will be accessible on the website to these users,O projeto estará acessível no site para esses usuários
Project-wise data is not available for Quotation,Os dados do projeto não estão disponíveis para cotação
Projected,Projetado
Projected On Hand,Projetado em mãos
Projected Qty,Quantidade projetada
Projected Quantity Formula,Fórmula de Quantidade Projetada
Projected Quantity as Source,Quantidade projetada como fonte
Projected qty,Quantidade projetada
Promotional,Promocional
Promotional Scheme Id,ID do esquema promocional
Prompt Qty,Quantidade do prompt
Proposta comercial gerada com sucesso!,Proposta comercial gerada com sucesso!
Prorate,Proporcionar
Prospect,Cliente em potencial
Prospect Lead,Cliente potencial
Prospect Opportunity,Oportunidade em potencial
Prospect Owner,Proprietário em potencial
Prospect {0} already exists,O cliente potencial {0} já existe
Prospects Engaged But Not Converted,"Clientes em potencial engajados, mas não convertidos"
Protected DocType,DocType protegido
Provide Email Address registered in company,Forneça o endereço de e-mail cadastrado na empresa
Providing,Fornecendo
Provisional Account,Conta Provisória
Provisional Expense Account,Conta de Despesas Provisórias
Publish Date,Data de publicação
Publisher,Editor
Publisher ID,ID do editor
Purchase Defaults,Padrões de compra
Purchase Details,Detalhes da compra
Purchase Expense,Despesa de compra
Purchase Expense Account,Conta de despesas de compra
Purchase Expense Contra Account,Conta de contrapartida de despesas de compra
Purchase Expense for Item {0},Despesa de compra do item {0}
Purchase Invoice Item,Item da fatura de compra
Purchase Manager,Gerente de compras
Purchase Master Manager,Gerente mestre de compras
Purchase Order Item,Item do pedido de compra
Purchase Order Item Supplied,Item do pedido de compra fornecido
Purchase Order Item reference is missing in Subcontracting Receipt {0},A referência do item do pedido de compra está faltando no recibo de subcontratação {0}
Purchase Order Pricing Rule,Regra de preço do pedido de compra
Purchase Order Required for item {},Ordem de compra necessária para o item {}
Purchase Order number required for Item {0},Número do pedido de compra necessário para o item {0}
Purchase Order {0} created,Ordem de compra {0} criada
Purchase Orders Items Overdue,Itens de pedidos de compra vencidos
Purchase Orders to Bill,Ordens de compra para faturar
Purchase Orders to Receive,Pedidos de compra para receber
Purchase Orders {0} are un-linked,Os pedidos de compra {0} estão desvinculados
Purchase Receipt (Draft) will be auto-created on submission of Subcontracting Receipt.,O Recibo de Compra (Rascunho) será criado automaticamente no envio do Recibo de Subcontratação.
Purchase Receipt Detail,Detalhes do recibo de compra
Purchase Receipt Item,Item de recibo de compra
Purchase Receipt Item Supplied,Item de recibo de compra fornecido
Purchase Receipt No,Número do recibo de compra
Purchase Receipt Required for item {},Recibo de compra necessário para o item {}
Purchase Receipt doesn't have any Item for which Retain Sample is enabled.,O recibo de compra não possui nenhum item para o qual Reter amostra esteja ativado.
Purchase Receipt {0} created.,Recibo de compra {0} criado.
Purchase Tax Withholding Category,Categoria de retenção de imposto de compra
Purchase Time,Tempo de compra
Purchase User,Usuário de compra
Purchase Value,Valor de compra
Purchase Voucher No,Voucher de compra não
Purchase Voucher Type,Tipo de voucher de compra
Purchased,Comprado
Purchases,Compras
Purple,Roxo
Purposes,Finalidades
Purposes Required,Finalidades necessárias
Putaway Rule,Regra de armazenamento
Putaway Rule already exists for Item {0} in Warehouse {1}.,A regra de armazenamento já existe para o item {0} no armazém {1}.
Qty,Quantidade
Qty ,Quantidade
Qty (As per BOM),Quantidade (conforme BOM)
Qty (Company),Quantidade (Empresa)
Qty (Warehouse),Quantidade (Armazém)
Qty (in Stock UOM),Quantidade (UM em estoque)
Qty After Transaction,Quantidade após transação
Qty Change,Alteração de quantidade
Qty Consumed Per Unit,Quantidade consumida por unidade
Qty In Stock,Quantidade em estoque
Qty Per Unit,Quantidade por unidade
Qty To Manufacture,Quantidade para fabricar
"Qty To Manufacture ({0}) cannot be a fraction for the UOM {2}. To allow this, disable '{1}' in the UOM {2}.","A Quantidade de Fabricação ({0}) não pode ser uma fração para a UOM {2}. Para permitir isso, desative '{1}' na UOM {2}."
Qty To Manufacture in the job card cannot be greater than Qty To Manufacture in the work order for the operation {0}. <br><br><b>Solution: </b> Either you can reduce the Qty To Manufacture in the job card or set the 'Overproduction Percentage For Work Order' in the {1}.,A Quantidade de Fabricação no cartão de trabalho não pode ser maior que a Quantidade de Fabricação na ordem de serviço da operação {0}. <br><br><b>Solução: </b> Você pode reduzir a Quantidade a ser fabricada no cartão de trabalho ou definir a 'Porcentagem de superprodução para ordem de serviço' em {1}.
Qty To Produce,Quantidade para produzir
Qty Wise Chart,Gráfico sábio de quantidade
Qty and Rate,Quantidade e taxa
Qty as Per Stock UOM,Quantidade conforme UOM de estoque
Qty as per Stock UOM,Quantidade conforme UOM de estoque
Qty for which recursion isn't applicable.,Quantidade para a qual a recursão não é aplicável.
Qty for {0},Quantidade para {0}
Qty in Stock UOM,Quantidade em estoque UOM
Qty of Finished Goods Item should be greater than 0.,A quantidade do item de produtos acabados deve ser maior que 0.
Qty of raw materials will be decided based on the qty of the Finished Goods Item,A quantidade de matérias-primas será decidida com base na quantidade do item de produtos acabados
Qty to Be Consumed,Quantidade a ser consumida
Qty to Bill,Quantidade a faturar
Qty to Build,Quantidade para construir
Qty to Deliver,Quantidade para entregar
Qty to Disassemble,Quantidade para desmontar
Qty to Fetch,Quantidade a ser buscada
Qty to Manufacture,Quantidade para fabricação
Qty to Order,Quantidade a encomendar
Qty to Produce,Quantidade para produzir
Qty to Receive,Quantidade a receber
Qty to Transfer,Quantidade a transferir
Qualification Status,Status de qualificação
Qualified,Qualificado
Qualified By,Qualificado por
Qualified on,Qualificado em
Quality Feedback,Feedback de qualidade
Quality Feedback Parameter,Parâmetro de feedback de qualidade
Quality Feedback Template,Modelo de feedback de qualidade
Quality Feedback Template Parameter,Parâmetro do modelo de feedback de qualidade
Quality Goal Objective,Objetivo da Meta de Qualidade
Quality Inspection Parameter,Parâmetro de inspeção de qualidade
Quality Inspection Parameter Group,Grupo de parâmetros de inspeção de qualidade
Quality Inspection Required,Inspeção de qualidade necessária
Quality Inspection Settings,Configurações de inspeção de qualidade
Quality Inspection Template Name,Nome do modelo de inspeção de qualidade
Quality Inspection is required for the item {0} before completing the job card {1},A Inspeção de Qualidade é necessária para o item {0} antes de preencher o cartão de trabalho {1}
Quality Inspection {0} is not submitted for the item: {1},A Inspeção de Qualidade {0} não foi enviada para o item: {1}
Quality Inspection {0} is rejected for the item: {1},A Inspeção de Qualidade {0} foi rejeitada para o item: {1}
Quality Inspection(s),Inspeções de qualidade
Quality Management,Gestão da Qualidade
Quantidade,Quantidade
Quantity  that must be bought or sold per UOM,Quantidade que deve ser comprada ou vendida por UOM
Quantity & Stock,Quantidade e estoque
Quantity (A - B),Quantidade (A - B)
Quantity (Output Qty),Quantidade (Quantidade de Saída)
Quantity Difference,Diferença de quantidade
Quantity and Amount,Quantidade e Valor
Quantity and Description,Quantidade e Descrição
Quantity and Rate,Quantidade e Taxa
Quantity and Warehouse,Quantidade e Armazém
Quantity cannot be greater than {0} for Item {1},A quantidade não pode ser maior que {0} para o item {1}
Quantity is mandatory for the selected items.,A quantidade é obrigatória para os itens selecionados.
Quantity is required,A quantidade é obrigatória
Quantity must be greater than zero,A quantidade deve ser maior que zero
Quantity must be less than or equal to {0},A quantidade deve ser menor ou igual a {0}
Quantity must not be more than {0},A quantidade não deve ser superior a {0}
Quantity required for Item {0} in row {1},Quantidade necessária para o item {0} na linha {1}
Quantity should be greater than 0,A quantidade deve ser maior que 0
Quantity to Scan,Quantidade para digitalizar
Quarter {0} {1},Trimestre {0} {1}
Quarterly,Trimestral
Query Route String,String de rota de consulta
Queue Size should be between 5 and 100,O tamanho da fila deve estar entre 5 e 100
Quick Ratio,Proporção Rápida
Quot/Lead %,Cota/Lead %
Quotation Item,Item de cotação
Quotation Number,Número da cotação
Quotation To,Cotação para
Quotations: ,Cotações:
Quote Status,Status da cotação
Quoted Amount,Valor cotado
RFQ and Purchase Order Settings,Configurações de RFQ e ordem de compra
RFQs are not allowed for {0} due to a scorecard standing of {1},RFQs não são permitidas para {0} devido a uma classificação de scorecard de {1}
Raise Material Request When Stock Reaches Re-order Level,Aumentar a solicitação de material quando o estoque atingir o nível de novo pedido
Raised By,Criado por
Raised By (Email),Levantado por (e-mail)
Random,aleatório
Range,Faixa
Rate & Amount,Taxa e valor
Rate (Company Currency),Taxa (moeda da empresa)
Rate Of Materials Based On,Taxa de materiais com base em
Rate Of TDS As Per Certificate,Taxa de TDS conforme certificado
Rate Section,Seção de taxas
Rate With Margin,Taxa com margem
Rate With Margin (Company Currency),Taxa com margem (moeda da empresa)
Rate and Amount,Taxa e valor
Rate at which Customer Currency is converted to customer's base currency,Taxa pela qual a Moeda do Cliente é convertida para a moeda base do cliente
Rate at which Price list currency is converted to company's base currency,Taxa pela qual a moeda da lista de preços é convertida para a moeda base da empresa
Rate at which Price list currency is converted to customer's base currency,Taxa pela qual a moeda da lista de preços é convertida para a moeda base do cliente
Rate at which customer's currency is converted to company's base currency,Taxa pela qual a moeda do cliente é convertida para a moeda base da empresa
Rate at which supplier's currency is converted to company's base currency,Taxa pela qual a moeda do fornecedor é convertida para a moeda base da empresa
Rate at which this tax is applied,Taxa de aplicação deste imposto
Rate of '{}' items cannot be changed,A taxa de itens '{}' não pode ser alterada
Rate of Depreciation,Taxa de depreciação
Rate of Depreciation (%),Taxa de depreciação (%)
Rate of Interest (%) Yearly,Taxa de juros (%) anual
Rate of Stock UOM,Taxa de UOM de estoque
Rate or Discount,Taxa ou desconto
Rates,Tarifas
Rating,Avaliação
Ratios,Razões
Raw Material Cost,Custo da matéria-prima
Raw Material Cost (Company Currency),Custo da matéria-prima (moeda da empresa)
Raw Material Cost Per Qty,Custo de matéria-prima por quantidade
Raw Material Item,Item de matéria-prima
Raw Material Item Code,Código do item de matéria-prima
Raw Material Value,Valor da matéria-prima
Raw Material Voucher No,Voucher de Matéria Prima Não
Raw Material Voucher Type,Tipo de voucher de matéria-prima
Raw Materials Actions,Ações de Matérias-Primas
Raw Materials Consumed,Matérias-primas consumidas
Raw Materials Consumption,Consumo de Matérias-Primas
Raw Materials Missing,Faltam matérias-primas
Raw Materials Required,Matérias-primas necessárias
Raw Materials Supplied,Matérias-primas fornecidas
Raw Materials Supplied Cost,Custo Fornecido de Matérias-Primas
Raw Materials to Customer,Matérias-primas para o cliente
Raw SQL,SQL bruto
Raw materials consumed qty will be validated based on FG BOM required qty,A quantidade consumida de matérias-primas será validada com base na quantidade exigida do FG BOM
Re-order Level,Nível de reordenamento
Re-order Qty,Reordenar quantidade
Reached Root,Raiz alcançada
Read Only,Somente leitura
Reading 1,Leitura 1
Reading 10,Leitura 10
Reading 2,Leitura 2
Reading 3,Leitura 3
Reading 4,Leitura 4
Reading 5,Leitura 5
Reading 6,Leitura 6
Reading 7,Leitura 7
Reading 8,Leitura 8
Reading 9,Leitura 9
Reading Value,Valor de leitura
Readings,Leituras
Reason,Razão
Reason for Failure,Motivo do fracasso
Reason for Leaving,Razão para sair
Reason for hold:,Motivo da retenção:
Rebuild Tree,Reconstruir árvore
Rebuilding BTree for period ...,Reconstruindo BTree por período ...
Recalculate Batch Qty,Recalcular quantidade de lote
Recalculate Bin Qty,Recalcular quantidade do compartimento
Recalculate Incoming/Outgoing Rate,Recalcular taxa de entrada/saída
Receipt Document,Documento de recebimento
Receipt Document Type,Tipo de documento de recebimento
Receipt Items,Itens de recebimento
Receivable / Payable Account,Conta a Receber/Pagar
Receivable/Payable Account,Conta a Receber/Pagar
Receivable/Payable Account: {0} doesn't belong to company {1},Conta a receber/a pagar: {0} não pertence à empresa {1}
Receivables,Contas a receber
Receive,Receber
Receive from Customer,Receber do cliente
Received,Recebido
Received Amount,Valor recebido
Received Amount (Company Currency),Valor recebido (moeda da empresa)
Received Amount After Tax,Valor recebido após impostos
Received Amount After Tax (Company Currency),Valor recebido após impostos (moeda da empresa)
Received Amount cannot be greater than Paid Amount,O valor recebido não pode ser maior que o valor pago
Received Items To Be Billed,Itens recebidos a serem cobrados
Received Qty,Quantidade recebida
Received Qty in Stock UOM,Quantidade recebida em estoque UOM
Received and Accepted,Recebido e Aceito
Receiver List,Lista de receptores
Receiver List is empty. Please create Receiver List,A lista de receptores está vazia. Por favor crie uma lista de destinatários
Receiving,Recebendo
Recent Orders,Pedidos recentes
Recent Transactions,Transações recentes
Recipient Message And Payment Details,Mensagem do destinatário e detalhes de pagamento
Reconcile All Serial Nos / Batches,Reconciliar todos os números de série/lotes
Reconcile Effect On,Efeito de reconciliação ativado
Reconcile on Advance Payment Date,Reconciliar na data de pagamento antecipado
Reconcile the Bank Transaction,Reconciliar a transação bancária
Reconciled Entries,Entradas reconciliadas
Reconciliation Date,Data de reconciliação
Reconciliation Error Log,Log de erros de reconciliação
Reconciliation Logs,Registros de reconciliação
Reconciliation Progress,Progresso da reconciliação
Reconciliation Queue Size,Tamanho da fila de reconciliação
Reconciliation Takes Effect On,A reconciliação entra em vigor
Recording HTML,Gravando HTML
Recording URL,URL de gravação
Recoverable Standard Rated expenses should not be set when Reverse Charge Applicable is Y,As despesas com classificação padrão recuperáveis ​​não devem ser definidas quando a cobrança reversa aplicável for Y
Recreate Stock Ledgers,Recriar livros de estoque
Recurse Every (As Per Transaction UOM),Recursar a cada (conforme UOM de transação)
Recurse Over Qty cannot be less than 0,Recurse Over Qty não pode ser menor que 0
Recursive Discounts with Mixed condition is not supported by the system,Descontos recursivos com condição mista não são suportados pelo sistema
Red,Vermelho
Redeem Against,Resgatar contra
Redeemed Points,Pontos resgatados
Redemption,Redenção
Redemption Account,Conta de resgate
Redemption Cost Center,Centro de Custo de Resgate
Redemption Date,Data de resgate
Ref Code,Código de referência
Ref Date,Data de referência
Reference,Referência
Reference Date,Data de referência
Reference Date for Early Payment Discount,Data de Referência para Desconto por Pagamento Antecipado
Reference Detail No,Detalhe de Referência Não
Reference DocType,DocType de referência
Reference Doctype must be one of {0},O tipo de documento de referência deve ser um de {0}
Reference Document,Documento de referência
Reference Document Name,Nome do documento de referência
Reference Document Type,Tipo de documento de referência
Reference Due Date,Data de Vencimento de Referência
Reference Exchange Rate,Taxa de câmbio de referência
Reference Name,Nome de referência
Reference No,Número de referência
Reference No and Reference Date is mandatory for Bank transaction,O número de referência e a data de referência são obrigatórios para transações bancárias
Reference Purchase Receipt,Recibo de Compra de Referência
Reference Row,Linha de referência
Reference Row #,Linha de referência #
Reference Type,Tipo de referência
Reference for Reservation,Referência para Reserva
Reference number of the invoice from the previous system,Número de referência da fatura do sistema anterior
References to Sales Invoices are Incomplete,As referências às faturas de vendas estão incompletas
References to Sales Orders are Incomplete,As referências às ordens de vendas estão incompletas
References {0} of type {1} had no outstanding amount left before submitting the Payment Entry. Now they have a negative outstanding amount.,As referências {0} do tipo {1} não tinham nenhum valor pendente antes do envio da Entrada de Pagamento. Agora eles têm um valor pendente negativo.
Referral Code,Código de referência
Referral Sales Partner,Parceiro de vendas de referência
Refresh,Atualizar
Refresh Plaid Link,Atualizar link xadrez
Regenerate Stock Closing Entry,Regenerar entrada de fechamento de estoque
Regional,Regional
Registration Details,Detalhes de registro
Regular,Regular
Rejected,Rejeitado
Rejected ,Rejeitado
Rejected Qty,Quantidade rejeitada
Rejected Quantity,Quantidade rejeitada
Rejected Serial No,Número de série rejeitado
Rejected Serial and Batch Bundle,Pacote serial e em lote rejeitado
Rejected Warehouse,Armazém rejeitado
Rejected Warehouse and Accepted Warehouse cannot be same.,Armazém Rejeitado e Armazém Aceito não podem ser iguais.
Relation,Relação
Relieving Date,Data de alívio
Remaining Amount,Valor restante
Remarks Column Length,Comprimento da coluna de observações
Remarks:,Observações:
Remove Parent Row No in Items Table,Remover número da linha pai na tabela de itens
Remove Zero Counts,Remover contagens zero
Remove item if charges is not applicable to that item,Remover item se as cobranças não forem aplicáveis ​​a esse item
Removed {0} rows with zero document count. Please save to persist changes.,Foram removidas {0} linhas com contagem zero de documentos. Salve para persistir as alterações.
Remover linha,Remover linha
Removing rows without exchange gain or loss,Removendo linhas sem ganho ou perda cambial
Rename,Renomear
Rename Attribute Value in Item Attribute.,Renomeie o valor do atributo no atributo do item.
Rename Log,Renomear registro
Rename jobs for doctype {0} have been enqueued.,As tarefas de renomeação para doctype {0} foram enfileiradas.
Rename jobs for doctype {0} have not been enqueued.,As tarefas de renomeação para doctype {0} não foram enfileiradas.
Rent,Aluguel
Rented,Alugado
Reopen,Reabrir
Reorder Qty,Reordenar quantidade
Reorder level based on Warehouse,Nível de novo pedido com base no armazém
Repack,Reembalar
Repair Cost,Custo de reparo
Repair Purchase Invoices,Reparar faturas de compra
Repair Status,Status de reparo
Replace,Substituir
Replace BOM,Replace BOM
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.|||It also updates latest price in all the BOMs.","Substitua uma BOM específica em todas as outras BOMs onde ela for usada. Ele substituirá o antigo link da BOM, atualizará o custo e regenerará a tabela ""Item de explosão da BOM"" de acordo com a nova BOM.|||Ele também atualiza o preço mais recente em todas as BOMs."
Replied,Respondeu
Report,Relatório
Report Error,Erro de relatório
Report Line Items,Itens de linha do relatório
Report Template,Modelo de relatório
Report Type,Tipo de relatório
Report Type is mandatory,O tipo de relatório é obrigatório
Report View,Visualização do relatório
Report an Issue,Informar um problema
Reporting Currency,Moeda do relatório
Reporting Currency Exchange Not Found,Relatório de câmbio de moeda não encontrado
Reporting Currency Exchange Rate,Relatório de taxa de câmbio de moeda
Reports,Relatórios
Reports to,Relatórios para
Repost,Repostagem
Repost Accounting Ledger,Repostagem do razão contábil
Repost Accounting Ledger Items,Repostagem de itens do razão contábil
Repost Allowed Types,Repostagem de tipos permitidos
Repost Error Log,Log de erros de repostagem
Repost Item Valuation,Repostagem da avaliação do item
Repost Item Valuation restarted for selected failed records.,Repostagem da avaliação do item reiniciada para registros com falha selecionados.
Repost Only Accounting Ledgers,Repostagem apenas de livros contábeis
Repost Payment Ledger,Repostagem do razão de pagamento
Repost Payment Ledger Items,Repostagem de itens do razão de pagamento
Repost Status,Status de republicação
Repost has started in the background,A repostagem começou em segundo plano
Repost in background,Repost em segundo plano
Repost started in the background,A repostagem começou em segundo plano
Reposting Data File,Repostagem de arquivo de dados
Reposting Item and Warehouse,Repostagem de item e armazém
Reposting Progress,Repostagem do progresso
Reposting Reference,Referência de repostagem
Reposting Vouchers,Repostagem de vouchers
Reposting Vouchers Progress,Progresso da repostagem de vouchers
Reposting entries created: {0},Repostagem de entradas criadas: {0}
Reposting for Item-Wh Completed {0}%,Repostagem para item concluído {0}%
Reposting for Vouchers Completed {0}%,Repostagem de vouchers concluída {0}%
Reposting has been started in the background.,A repostagem foi iniciada em segundo plano.
Reposting in the background.,Repostagem em segundo plano.
Represents Company,Representa a Empresa
Represents a Financial Year. All accounting entries and other major transactions are tracked against the Fiscal Year.,Representa um exercício financeiro. Todos os lançamentos contábeis e outras transações importantes são acompanhados em relação ao exercício fiscal.
Reqd By Date,Requerido por data
Reqd Qty (BOM),Quantidade necessária (BOM)
Reqired Qty,Quantidade necessária
Request Parameters,Parâmetros de solicitação
Request Timeout,Solicitar tempo limite
Request Type,Tipo de solicitação
Request for,Solicitação de
Request for Information,Solicitação de informações
Requested Items To Be Transferred,Itens solicitados para serem transferidos
Requested Qty,Quantidade solicitada
"Requested Qty: Quantity requested for purchase, but not ordered.","Quantidade Solicitada: Quantidade solicitada para compra, mas não solicitada."
Required Date,Data obrigatória
Required Items,Itens obrigatórios
Required On,Obrigatório ativado
Required Qty,Quantidade necessária
Required Skills,Habilidades necessárias
Requirement,Exigência
Requires Fulfilment,Requer Cumprimento
"Reselect, if the chosen address is edited after save","Selecione novamente, se o endereço escolhido for editado após salvar"
"Reselect, if the chosen contact is edited after save","Selecione novamente, se o contato escolhido for editado após salvar"
Resend Payment Email,Reenviar e-mail de pagamento
Reservation,Reserva
Reservation Based On,Reserva baseada em
Reserve,Reserva
Reserve Stock,Estoque de reserva
Reserve Warehouse,Armazém de Reserva
Reserve for Raw Materials,Reserva de Matérias Primas
Reserve for Sub-assembly,Reserva para Submontagem
Reserved,Reservado
Reserved Batch Conflict,Conflito de lote reservado
Reserved Inventory,Inventário reservado
Reserved Qty,Quantidade reservada
"Reserved Qty ({0}) cannot be a fraction. To allow this, disable '{1}' in UOM {3}.","A Quantidade reservada ({0}) não pode ser uma fração. Para permitir isso, desative '{1}' na UOM {3}."
Reserved Qty for Production,Quantidade reservada para produção
Reserved Qty for Production Plan,Quantidade reservada para plano de produção
Reserved Qty for Production: Raw materials quantity to make manufacturing items.,Quantidade Reservada para Produção: Quantidade de matéria-prima para fabricar itens.
Reserved Qty for Subcontract,Quantidade reservada para subcontrato
Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,Quantidade Reservada para Subcontratação: Quantidade de matéria-prima para confecção dos itens subcontratados.
Reserved Qty should be greater than Delivered Qty.,A Quantidade Reservada deve ser maior que a Quantidade Entregue.
"Reserved Qty: Quantity ordered for sale, but not delivered.","Quantidade Reservada: Quantidade encomendada para venda, mas não entregue."
Reserved Serial No.,Número de série reservado
Reserved Stock,Estoque Reservado
Reserved Stock for Batch,Estoque reservado para lote
Reserved Stock for Raw Materials,Estoque Reservado para Matérias Primas
Reserved Stock for Sub-assembly,Estoque reservado para subconjunto
Reserved Warehouse is mandatory for the Item {item_code} in Raw Materials supplied.,O Armazém Reservado é obrigatório para o Item {item_code} nas Matérias Primas fornecidas.
Reserved for POS Transactions,Reservado para transações POS
Reserved for Production,Reservado para produção
Reserved for Production Plan,Reservado para Plano de Produção
Reserved for Sub Contracting,Reservado para Subcontratação
Reserving Stock...,Reservando estoque...
Reset,Reiniciar
Reset Company Default Values,Redefinir valores padrão da empresa
Reset Plaid Link,Redefinir link xadrez
Reset Raw Materials Table,Redefinir tabela de matérias-primas
Resignation Letter Date,Data da carta de demissão
Resolution,Resolução
Resolution By,Resolução por
Resolution Date,Data de resolução
Resolution Details,Detalhes da resolução
Resolution Due,Resolução vencida
Resolution Time,Tempo de resolução
Resolutions,Resoluções
Resolved By,Resolvido por
Response By,Resposta por
Response Details,Detalhes da resposta
Response Key List,Lista de chaves de resposta
Response Options,Opções de resposta
Response Result Key Path,Caminho-chave do resultado da resposta
Response and Resolution,Resposta e Resolução
Responsible,Responsável
Restart,Reiniciar
Restart Failed Entries,Reiniciar entradas com falha
Restore Asset,Restaurar ativo
Restrict,Restringir
Restrict Items Based On,Restringir itens com base em
Restrict to Countries,Restringir a países
Result Key,Chave de resultado
Result Preview Field,Campo de visualização do resultado
Result Route Field,Campo Rota de Resultado
Result Title Field,Campo de título do resultado
Resume Job,Retomar trabalho
Resume Timer,Retomar temporizador
Retain Sample,Reter amostra
Retried,Tentei novamente
Retry,Tentar novamente
Retry Failed Transactions,Tentar novamente transações com falha
Return Against,Retorno Contra
Return Against Delivery Note,Devolução contra nota de entrega
Return Against Purchase Invoice,Devolução contra fatura de compra
Return Against Purchase Receipt,Devolução contra recibo de compra
Return Against Subcontracting Receipt,Devolução contra recibo de subcontratação
Return Components,Componentes de devolução
Return Issued,Devolução emitida
Return Qty,Quantidade de devolução
Return Qty from Rejected Warehouse,Quantidade de devolução do armazém rejeitado
Return Raw Material to Customer,Devolver matéria-prima ao cliente
Return invoice of asset cancelled,Fatura de devolução de ativo cancelado
Return of Components,Devolução de Componentes
Return on Asset Ratio,Taxa de retorno sobre ativos
Return on Equity Ratio,Índice de retorno sobre o patrimônio líquido
Returned,Devolvido
Returned Against,Devolvido Contra
Returned Qty,Quantidade devolvida
Returned Qty ,Quantidade devolvida
Returned Qty in Stock UOM,Quantidade devolvida em estoque UOM
Returned Quantity,Quantidade devolvida
Returned exchange rate is neither integer not float.,A taxa de câmbio retornada não é um número inteiro nem um número flutuante.
Revaluation Journals,Diários de reavaliação
Revaluation Surplus,Excedente de reavaliação
Revenue,Receita
Reversal Of,Reversão de
Reverse Sign,Sinal reverso
Review Date,Data de revisão
Revise Budget,Revisar orçamento
Revision Of,Revisão de
Revision cancelled,Revisão cancelada
Rgt,Rgt
Right Child,Criança certa
Right Index,Índice certo
Ringing,Toque
Role Allowed to Create/Edit Back-dated Transactions,Função com permissão para criar/editar transações com datas anteriores
Role Allowed to Edit Frozen Stock,Função com permissão para editar estoque congelado
Role Allowed to Over Bill ,Função permitida para superfaturar
Role Allowed to Over Deliver/Receive,Função com permissão para entregar/receber em excesso
